"id","luipiat","chokchia","piautoe","tongmia","nitai","lamlu","kitha","tngtou","imchiat","su","ku","toaN","chhatioh","jitki"
317,"散文","林明輝","bp23林明輝_人喫米粉咱喝燒","bp23林明輝_人喫米粉咱喝燒","1998","p",,0,0,0,0,0,31616,"2005年03月16日 00時00分00秒"
318,"散文","楊照陽","bp23楊照陽_有仁有惠的心情 (iongji u bunte)","bp23楊照陽_有仁有惠的心情 (iongji u bunte)","1998","p",,0,0,0,0,0,63959,"2005年03月16日 00時00分00秒"
319,"報導","楊允言","bp23楊允言_來去花蓮05","bp23楊允言_來去花蓮05","1998","p",,0,0,0,0,0,49978,"2005年03月16日 00時00分00秒"
320,"小說","陳明仁","bp23陳明仁_選舉02","bp23陳明仁_選舉02","1998","p",,0,0,0,0,0,592714,"2005年03月16日 00時00分00秒"
321,"散文","汪克芬","bp23汪克芬_契兄A仁","bp23汪克芬_契兄A仁","1998","b",,0,0,0,0,0,13205,"2005年03月16日 00時00分00秒"
322,"散文","陳憲國","bp23陳憲國_A仁e台語小說","bp23陳憲國_A仁e台語小說","1998","p",,0,0,0,0,0,43802,"2005年03月16日 00時00分00秒"
325,"新詩","吳國禎","bp24s吳國禎_無言e你","bp24s吳國禎_無言e你","1998","p",,0,0,0,0,0,3791,"2005年03月16日 00時00分00秒"
326,"新詩","林春生","bp24s林春生_中年運將","bp24s林春生_中年運將","1998","p",,0,0,0,0,0,4054,"2005年03月16日 00時00分00秒"
327,"新詩","鄭雅怡","bp24s鄭雅怡_告別我e 20 年代","bp24s鄭雅怡_告別我e 20 年代","1998","b",,0,0,0,0,0,28085,"2005年03月16日 00時00分00秒"
328,"新詩","林武憲","bp25 s林武憲_木屐","bp25 s林武憲_木屐","1998","p",,0,0,0,0,0,5372,"2005年03月16日 00時00分00秒"
329,"新詩","莊佩芬","bp25 s莊佩芬_等待e樹林","bp25 s莊佩芬_等待e樹林","1998","b",,0,0,0,0,0,4652,"2005年03月16日 00時00分00秒"
330,"新詩","謝安通","bp25 s謝安通_山海大合唱","bp25 s謝安通_山海大合唱","1998","p",,0,0,0,0,0,2741,"2005年03月16日 00時00分00秒"
331,"新詩","陳金順","bp25 s陳金順_孤鳥回siu","bp25 s陳金順_孤鳥回siu","1998","p",,0,0,0,0,0,2688,"2005年03月16日 00時00分00秒"
332,"新詩","陳玨勳","bp25 s陳玨勳_游泳e gin-a","bp25 s陳玨勳_游泳e gin-a","1998","b",,0,0,0,0,0,3126,"2005年03月16日 00時00分00秒"
333,"散文","林明哲","bp24林明哲_1種花東e遊記","bp24林明哲_1種花東e遊記","1998","p",,0,0,0,0,0,59689,"2005年03月16日 00時00分00秒"
334,"散文","江秀鳳","bp24江秀鳳_我chiah 14歲","bp24江秀鳳_我chiah 14歲","1998","b",,0,0,0,0,0,84514,"2005年03月16日 00時00分00秒"
335,"散文","王淑秋","bp24王淑秋_教外國人台語e心適事","bp24王淑秋_教外國人台語e心適事","1998","b",,0,0,0,0,0,64488,"2005年03月16日 00時00分00秒"
336,"散文","鄭雅怡","bp24鄭雅怡_Gin-a kap性別歧視","bp24鄭雅怡_Gin-a kap性別歧視","1998","b",,0,0,0,0,0,58652,"2005年03月16日 00時00分00秒"
337,"散文","丁鳳珍","bp25 b丁鳳珍_荷lin豆田e日子","bp25 b丁鳳珍_荷lin豆田e日子","1998","b",,0,0,0,0,0,33556,"2005年03月16日 00時00分00秒"
338,"散文","施麗香","bp25 b施麗香_收費員e心情","bp25 b施麗香_收費員e心情","1998","b",,0,0,0,0,0,26649,"2005年03月16日 00時00分00秒"
339,"散文","鄭芳芳","bp25 b鄭芳芳_KoaN--人e outoubai","bp25 b鄭芳芳_KoaN--人e outoubai","1998","b",,0,0,0,0,0,16870,"2005年03月16日 00時00分00秒"
340,"散文","楊照陽","bp25 b楊照陽_摸奶橋","bp25 b楊照陽_摸奶橋","1998","p",,0,0,0,0,0,87992,"2005年03月16日 00時00分00秒"
341,"散文","陳金順","bp25 b陳金順_Kou-i e台灣un-chiang","bp25 b陳金順_Kou-i e台灣un-chiang","1998","p",,0,0,0,0,0,44618,"2005年03月16日 00時00分00秒"
342,"散文","張順情","bp25 b張順情_最後e演出","bp25 b張順情_最後e演出","1998","p",,0,0,0,0,0,12005,"2005年03月16日 00時00分00秒"
343,"報導","楊允言","bp25 b楊允言_來去花蓮06","bp25 b楊允言_來去花蓮06","1998","p",,0,0,0,0,0,74409,"2005年03月16日 00時00分00秒"
344,"笑話","Homosapiens ACT","bp25 bACT_大舌興thih","bp25 bACT_大舌興thih","1998","p",,0,0,0,0,0,12380,"2005年03月16日 00時00分00秒"
345,"報導","楊允言","bp27 b楊允言_來去花蓮07","bp27 b楊允言_來去花蓮07","1998","p",,0,0,0,0,0,59267,"2005年03月16日 00時00分00秒"
497,"散文","Asia Jilimpo","bp28 大崙e5 a 太kap 砂鼊","bp28 大崙e5 a 太kap 砂鼊","1999","p",,0,0,0,0,0,73719,"2005年03月17日 00時00分00秒"
923,"新詩","王淑珍","bp81 1場莫名野火──SARS","bp81 1場莫名野火──SARS","2003","b",,0,0,0,0,0,7056,"2005年04月28日 00時00分00秒"
346,"小說","楊嘉芬","bp26 b楊嘉芬_Cheng樹頂e光景","bp26 b楊嘉芬_Cheng樹頂e光景","1998","b",,0,0,0,0,0,608952,"2005年03月16日 00時00分00秒"
347,"小說","Babuja A. Sidaia","bp27 b陳明仁_Lau-sit孤飛","bp27 b陳明仁_Lau-sit孤飛","1998","p",,0,0,0,0,0,310794,"2005年03月16日 00時00分00秒"
348,"散文","鄭芳芳","bp27 b鄭芳芳_剃頭師父","bp27 b鄭芳芳_剃頭師父","1998","b",,0,0,0,0,0,26849,"2005年03月16日 00時00分00秒"
349,"散文","劉雅琪","bp26 b劉雅琪_Hit工停電--a","bp26 b劉雅琪_Hit工停電--a","1998","b",,0,0,0,0,0,29486,"2005年03月16日 00時00分00秒"
350,"散文","陳明仁","bp26 b陳明仁_田中央蕭平治","bp26 b陳明仁_田中央蕭平治","1998","p",,0,0,0,0,0,23329,"2005年03月16日 00時00分00秒"
351,"笑話","Homosapiens ACT","bp26 bACT_Iau-kui假細膩","bp26 bACT_Iau-kui假細膩","1998","p",,0,0,0,0,0,11946,"2005年03月16日 00時00分00秒"
352,"評論","陳明仁","bp26 b陳明仁_Cheng樹頂e光景短評","bp26 b陳明仁_Cheng樹頂e光景短評","1998","p",,0,0,0,0,0,17058,"2005年03月16日 00時00分00秒"
353,"散文","黃提銘","bp26 b黃提銘_走chhoe南崁4莊","bp26 b黃提銘_走chhoe南崁4莊","1998","p",,0,0,0,0,0,10355,"2005年03月16日 00時00分00秒"
354,"散文","洪錦田","bp27 b洪錦田_筆友","bp27 b洪錦田_筆友","1998","p",,0,0,0,0,0,65831,"2005年03月16日 00時00分00秒"
355,"新詩","黃提銘","bp26 s黃提銘_走","bp26 s黃提銘_走","1998","p",,0,0,0,0,0,2583,"2005年03月16日 00時00分00秒"
356,"笑話","詹敏敏","bp27 b詹敏敏_Einstein kap Charlie Chaplin","bp27 b詹敏敏_Einstein kap Charlie Chaplin","1998","b",,0,0,0,0,0,2173,"2005年03月16日 00時00分00秒"
357,"笑話","詹敏敏","bp27 b詹敏敏_Toh 1工我會死","bp27 b詹敏敏_Toh 1工我會死","1998","b",,0,0,0,0,0,3536,"2005年03月16日 00時00分00秒"
360,"小說","Babuja A. Sidaia","bp28 Babuja A. Sidaia_Lau-sit孤鳥","bp28 Babuja A. Sidaia_Lau-sit孤鳥","1999","p",,0,0,0,0,0,430124,"2005年03月16日 00時00分00秒"
361,"新詩","洪錦田","bp28 b洪錦田_行話bong2 liu7","bp28 b洪錦田_行話bong2 liu7","1999","p",,0,0,0,0,0,14043,"2005年03月16日 00時00分00秒"
362,"新詩","黃提銘","bp28 b黃提銘_海洋記事","bp28 b黃提銘_海洋記事","1999","p",,0,0,0,0,0,18424,"2005年03月16日 00時00分00秒"
363,"散文","I-eng5","bp28 I-eng5_我是1隻暗光鳥","bp28 I-eng5_我是1隻暗光鳥","1999","b",,0,0,0,0,0,14829,"2005年03月16日 00時00分00秒"
364,"散文","Pasuya","bp28 Pasuya_Goan a-ma死了後","bp28 Pasuya_Goan a-ma死了後","1999","p",,0,0,0,0,0,14081,"2005年03月16日 00時00分00秒"
365,"新詩","吳國禎","bp28 s吳國禎_胭脂","bp28 s吳國禎_胭脂","1999","p",,0,0,0,0,0,4612,"2005年03月16日 00時00分00秒"
366,"新詩","黃提銘","bp28 s黃提銘_1個台灣人落選","bp28 s黃提銘_1個台灣人落選","1999","p",,0,0,0,0,0,4605,"2005年03月16日 00時00分00秒"
367,"散文","Asia Jilimpo","bp29 Asia Jilimpo_過年e5 gi7-niu7","bp29 Asia Jilimpo_過年e5 gi7-niu7","1999","p",,0,0,0,0,0,61619,"2005年03月16日 00時00分00秒"
368,"散文","吳佳靜","bp29 b吳佳靜_行出寂靜","bp29 b吳佳靜_行出寂靜","1999","b",,0,0,0,0,0,17596,"2005年03月16日 00時00分00秒"
370,"小說","Babuja A. Sidaia","bp29 Babuja A. Sidaia_作家kap作家e記事","bp29 Babuja A. Sidaia_作家kap作家e記事","1999","p",,0,0,0,0,0,500653,"2005年03月16日 00時00分00秒"
371,"笑話","Homosapiens ACT","bp29 bACT_好kap bai2","bp29 bACT_好kap bai2","1999","p",,0,0,0,0,0,4713,"2005年03月16日 00時00分00秒"
372,"報導","楊允言","bp29 b楊允言_來去花蓮08","bp29 b楊允言_來去花蓮08","1999","p",,0,0,0,0,0,76972,"2005年03月16日 00時00分00秒"
373,"散文","鄭芳芳","bp29 b鄭芳芳_Kang7面","bp29 b鄭芳芳_Kang7面","1999","b",,0,0,0,0,0,21972,"2005年03月16日 00時00分00秒"
498,"散文","Asia Jilimpo","bp38 十姊妹記事","bp38 十姊妹記事","1999","p",,0,0,0,0,0,103472,"2005年03月17日 00時00分00秒"
499,"散文","A-bi5","bp38 一張phoe","bp38 一張phoe","1999","b",,0,0,0,0,0,31706,"2005年03月17日 00時00分00秒"
500,"批","Henry 等","bp44 b台灣cha-bou2出冊回應","bp44 b台灣cha-bou2出冊回應","2000","p","戴凱序 張學謙 鄭詩宗 陳柏壽",0,0,0,0,0,47772,"2005年03月17日 00時00分00秒"
374,"新詩","陳穎柔","bp29 s陳穎柔_媽媽e5目 chiu我e5目chiu","bp29 s陳穎柔_媽媽e5目 chiu我e5目chiu","1999","b",,0,0,0,0,0,2116,"2005年03月16日 00時00分00秒"
375,"劇本","陳明仁","bp30 b陳明仁_等紅霞e5日子","bp30 b陳明仁_等紅霞e5日子","1999","p",,0,0,0,0,0,86700,"2005年03月16日 00時00分00秒"
376,"散文","Po2-hui7","bp30 Po2-hui7_A-ma2 kap i e5老伴","bp30 Po2-hui7_A-ma2 kap i e5老伴","1999","b",,0,0,0,0,0,44056,"2005年03月16日 00時00分00秒"
