"id","luipiat","chokchia","piautoe","tongmia","nitai","lamlu","kitha","tngtou","imchiat","su","ku","toaN","chhatioh","jitki"
100,"phenglun","Lau5 Iong5-eng","TOJ-001-SaN Ni5 Chit8 Hoan2 Gou7 ni5 Chit8 Loan7","TOJ-001-SaN Ni5 Chit8 Hoan2 Gou7 ni5 Chit8 Loan7","2000","p",,0,0,0,0,0,126699,"2003年05月12日 00時00分00秒"
104,"siosoat","Barclay","KI-1-Chhong3-Se3-Ki3","KI-1-Chhong3-Se3-Ki3","1933","p",,0,0,0,0,0,1053671,"2003年06月04日 00時00分00秒"
105,"siosoat","Barclay","KI-2-Chhut-Ai-Kip8-Ki3","KI-2-Chhut-Ai-Kip8-Ki3","1933","p",,0,0,0,0,0,768622,"2003年06月04日 00時00分00秒"
106,"siosoat","Barclay","KI-3-Li7-Bi7-Ki3","KI-3-Li7-Bi7-Ki3","1933","p",,0,0,0,0,0,592988,"2003年06月04日 00時00分00秒"
107,"siosoat","Barclay","KI-4-Bin5-Sou3-Ki3","KI-4-Bin5-Sou3-Ki3","1933","p",,0,0,0,0,0,678246,"2003年06月04日 00時00分00秒"
108,"siosoat","Barclay","KI-5-Sin-Beng7-Ki3","KI-5-Sin-Beng7-Ki3","1933","p",,0,0,0,0,0,604678,"2003年06月04日 00時00分00秒"
109,"siosoat","Barclay","KI-6-Iok-Su-A","KI-6-Iok-Su-A","1933","p",,0,0,0,0,0,351170,"2003年06月04日 00時00分00秒"
110,"siosoat","Barclay","KI-7-Su7-Su-Ki3","KI-7-Su7-Su-Ki3","1933","p",,0,0,0,0,0,365493,"2003年06月04日 00時00分00秒"
111,"siosoat","Barclay","KI-8-Lou7-Tek-Ki3","KI-8-Lou7-Tek-Ki3","1933","p",,0,0,0,0,0,54843,"2003年06月04日 00時00分00秒"
112,"siosoat","Barclay","KI-9-Sat-Bou2-JiN2-1","KI-9-Sat-Bou2-JiN2-1","1933","p",,0,0,0,0,0,472581,"2003年06月04日 00時00分00秒"
113,"siosoat","Barclay","KI-10-Sat-Bou2-JiN2-2","KI-10-Sat-Bou2-JiN2-2","1933","p",,0,0,0,0,0,756336,"2003年06月04日 00時00分00秒"
114,"siosoat","Barclay","KI-11-Liat8-Ong5-Ki3-1","KI-11-Liat8-Ong5-Ki3-1","1933","p",,0,0,0,0,0,843268,"2003年06月04日 00時00分00秒"
